1537-2016,1531-2016,1532-2016,1538-2016,1525-2016,1521-2016,1530-2016,1536-2016,1524-2016,1522-2016,1527-2016,1520-2016,1534-2016,1519-2016
WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6
Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa
3/14/16,3/15/16,3/18/16,3/19/16,3/20/16,3/21/16,3/22/16,3/25/16,3/26/16,3/27/16,3/28/16,3/29/16,3/30/16,3/31/16
8:32:00,15:18:00,13:10:00,13:13:00,15:40:00,16:29:00,17:15:00,16:10:00,15:15:00,9:30:00,18:30:00,16:19:00,15:30:00,15:30:00
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5
1.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5
0.3333333333,0.6666666666,0.3333333333,0.6666666666,1.0,0.6666666666,0.3333333333,0.6666666666,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.6666666666
0.85,0.8673076923,0.8538461538,0.8403846153,0.8711538461,0.9307692307,0.9230769230,0.8846153846,0.8269230769,0.8230769230,0.8846153846,1.0,0.8576923076,0.9192307692
0.8828828828,1.0,0.7207207207,0.7657657657,0.7207207207,0.6936936936,0.7207207207,0.6126126126,0.7027027027,0.6666666666,0.7207207207,0.7027027027,0.7387387387,0.6846846846
0,0,0,0,0,0,0,0,0,0,0,0,0,0
