WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6
3/26/15 15:30,3/27/15 12:03,3/29/15 8:15,3/30/15 14:15,3/31/15 15:35,3/14/16 8:32,3/15/16 15:18,3/18/16 13:10,3/19/16 13:13,3/20/16 15:40,3/21/16 16:29,3/22/16 17:15,3/25/16 16:10,3/26/16 15:15,3/27/16 9:30,3/28/16 18:30,3/29/16 16:19,3/30/16 15:30,3/31/16 15:30
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1
1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1,2,3,2,1,2,1,1,1,1,1,2
41,37.8,40.6,43.7,44.5,44.2,45.1,44.4,43.7,45.3,48.4,48,46,43,42.8,46,52,44.6,47.8
54,73,62,63,80,98,111,80,85,80,77,80,68,78,74,80,78,82,76
34,25.5,34.2,52.2,54.6,43.3,50.7,41.7,41,44.6,51.4,57,49,53,43.5,53,62,51.1,47.3
0,0,0,0.01,0,0.28,0.1,0,0,0,0,0,0,0,0,0,0,0.09,0.77
0.36,0,0,0.08,0.01,0.3,0.2,0,0,0,0,0,0.55,0.01,0,0.13,0,0.09,0.86
9.35,10.89,9.49,6.14,6.2,6.52,7.38,7.77,6.76,6.18,5.13,9.26,5.8,7.91,7.34,9.78,4.22,11.56,7.05
