1079-2015,1080-2015,1081-2015,1082-2015,1083-2015,1537-2016,1531-2016,1532-2016,1538-2016,1525-2016,1521-2016,1530-2016,1536-2016,1524-2016,1522-2016,1527-2016,1520-2016,1534-2016,1519-2016,1746-2017,1638-2017,1747-2017,1748-2017
WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier5,WaubesaPier6,WaubesaPier6
Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa
3/26/15,3/27/15,3/29/15,3/30/15,3/31/15,3/14/16,3/15/16,3/18/16,3/19/16,3/20/16,3/21/16,3/22/16,3/25/16,3/26/16,3/27/16,3/28/16,3/29/16,3/30/16,3/31/16,3/28/17,3/28/17,3/30/17,3/31/17
15:30:00,12:03:00,8:15:00,14:15:00,15:35:00,8:32:00,15:18:00,13:10:00,13:13:00,15:40:00,16:29:00,17:15:00,16:10:00,15:15:00,9:30:00,18:30:00,16:19:00,15:30:00,15:30:00,16:11:00,18:54:00,16:13:00,16:57:00
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,3,3
1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
1,1,1,1,1,1,2,1,2,3,2,1,2,1,1,1,1,1,2,2,1,3,3
41,37.8,40.6,43.7,44.5,44.2,45.1,44.4,43.7,45.3,48.4,48,46,43,42.8,46,52,44.6,47.8,48,42.6,43.2,42.4
54,73,62,63,80,98,111,80,85,80,77,80,68,78,74,80,78,82,76,76,120,66,65
